rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
3743;5;LICEO BICENTENARIO DE EXCELENCIA DIEGO PORTALES PALAZUELOS;16;DE ÑUBLE;163;PUNILLA;16301;SAN CARLOS;161;Diguillín;2;1;1;1;52;50;245;267;-11;-2;18;40;0;0;1;1;;;;;53.8;36.5;9.6;38.0;50.0;12.0;0;20240418;final20240418v1;2m;2023
5652;9;COLEGIO PROVIDENCIA DE TEMUCO;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;2;1;69;65;246;231;-10;-2;6;-13;0;0;1;-1;;;;;55.1;29.0;15.9;69.2;26.2;4.6;0;20240418;final20240418v1;2m;2023
20308;4;COLEGIO ALTERRA;13;METROPOLITANA DE SANTIAGO;134;MAIPO;13401;SAN BERNARDO;132;Sur;4;3;5;1;27;27;297;302;23;17;11;-21;1;0;1;-1;;;;;7.4;29.6;63.0;29.6;33.3;37.0;0;20240418;final20240418v1;2m;2023
3302;2;COLEGIO LA PROVIDENCIA;7;DEL MAULE;74;LINARES;7401;LINARES;73;Linares;3;2;2;1;64;64;268;253;-6;6;28;9;0;0;1;1;;;;;32.8;40.6;26.6;54.7;32.8;12.5;0;20240418;final20240418v1;2m;2023
56;6;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;3;2;4;1;62;65;282;302;17;8;13;14;1;0;1;1;;;;;22.6;41.9;35.5;23.1;40.0;36.9;0;20240418;final20240418v1;2m;2023
597;5;COLEGIO PEDRO PABLO MUÑOZ;4;DE COQUIMBO;41;ELQUI;4104;LA HIGUERA;41;Elqui;2;1;1;1;22;24;203;189;-13;-24;-24;-38;0;0;-1;-1;;;;;86.4;9.1;4.5;95.8;4.2;0.0;0;20240418;final20240418v1;2m;2023
10962;2;COLEGIO JUAN PABLO II;2;DE ANTOFAGASTA;22;EL LOA;2201;CALAMA;22;El Loa;3;2;4;1;90;93;253;270;-23;-5;-16;-18;-1;0;-1;-1;;;;;48.9;25.6;25.6;46.2;32.3;21.5;0;20240418;final20240418v1;2m;2023
9339;4;ESCUELA Y COLEGIO POLITECNICO LOS HEROES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;3;2;1;1;14;15;200;189;-25;-24;-27;-38;-1;0;-1;-1;;;;;92.9;0.0;7.1;93.3;6.7;0.0;0;20240418;final20240418v1;2m;2023
25028;7;CENTRO EDUC. DIEGO DE ALMAGRO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13122;PEÑALOLÉN;133;Oriente;3;2;1;1;60;61;244;230;-17;-24;17;3;-1;-1;1;0;;;;;58.3;36.7;5.0;68.9;26.2;4.9;0;20240418;final20240418v1;2m;2023
6007;0;LICEO LOS ANDES;9;DE LA ARAUCANÍA;91;CAUTÍN;9110;MELIPEUCO;92;Cautin Norte;2;1;1;1;41;43;225;229;12;22;-2;2;0;1;0;0;;;;;63.4;31.7;4.9;72.1;27.9;0.0;0;20240418;final20240418v1;2m;2023
